sortKey,city,state,country,name,typeSlug,distanceSlugs,providerSlug,detailUrl
2026-11-08T02:00,Rio de Janeiro,RJ,Brasil,Desafio Energia Petrobras - Bike - Rio de Janeiro 2026,road,10km,running-land,https://www.runningland.com.br/eventos/desafio-energia-petrobras-bike-rio-de-janeiro-2026
2026-11-11T12:00,Nova Trento,SC,Brasil,MONS ULTRA TRAIL,trail,12km,corre-brasil,https://monsultratrail.com.br/
2026-11-22T02:00,Campinas,SP,Brasil,Blue Run 2026 - Campinas,road,5km;10km,running-land,https://www.runningland.com.br/eventos/blue-run-2026-campinas
2026-11-22T02:00,Aracaju,SE,Brasil,Circuito das Estações 2026 - Verão - Aracaju,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-aracaju
2026-11-29T02:00,São Paulo,SP,Brasil,Bravus SPEED II - São Paulo 2026,road,,running-land,https://www.runningland.com.br/eventos/bravus-speed-ii-s-o-paulo-2026
2026-11-29T06:00,São Paulo,SP,Brasil,Venus Women's Half Marathon 2026,road,5km;10km;15km;21-1km,iguana-sports,https://iguanasports.com.br/blogs/calendario-corridas-de-rua/venus-womens-half-marathon-2026
2026-11-29T12:00,Florianópolis,SC,Brasil,MEIA MARATONA SC21K,road,5km;15km,corre-brasil,https://www.correbrasil.com.br/sc21k-2026
2026-12-06T02:00,Palmas,TO,Brasil,Circuito das Estações 2026 - Verão - Palmas,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-palmas
2026-12-06T02:00,São Luís,MA,Brasil,Circuito das Estações 2026 - Verão - São Luís,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-s-o-luis
2026-12-06T02:00,Teresina,PI,Brasil,Circuito das Estações 2026 - Verão - Teresina,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-teresina
2026-12-06T12:00,Belo Horizonte,MG,Brasil,27ª Volta Intl da Pampulha,road,,yescom,https://www.yescom.com.br/voltadapampulha/2026/index.asp
2026-12-06T19:35,Cuiabá,MT,Brasil,Circuito das Estações 2026 - Verão - Cuiabá,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-cuiaba
2026-12-13T02:00,Anápolis,GO,Brasil,Circuito das Estações 2026 - Verão - Anápolis,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-anapolis
2026-12-13T02:00,Campo Grande,MS,Brasil,Circuito das Estações 2026 - Verão - Campo Grande,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-campo-grande
2026-12-13T02:00,João Pessoa,PB,Brasil,Circuito das Estações 2026 - Verão - João Pessoa,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-jo-o-pessoa
2026-12-20T02:00,Goiania,GO,Brasil,Circuito das Estações 2026 - Verão - Goiânia,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-goiania
2026-12-20T02:00,Natal,RN,Brasil,Circuito das Estações 2026 - Verão - Natal,road,5km;10km,running-land,https://www.runningland.com.br/eventos/circuito-das-estacoes-2026-ver-o-natal
